	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
718		0	S			[]		G23388	North America	USA
719		1	S			[]		G23389	North America	USA
720		1	S			[]		G23390	North America	USA
721		1	S			[]		G23391	North America	USA
722		0	S			[]		G23392	North America	USA
723		0	S			[]		G23393	North America	USA
724	1153	0	I	2020-03-23	2077	[]	2020-03-23	G23394	North America	USA
725		1	S			[]		G23395	North America	USA
726		1	S			[]		G23396	North America	USA
727		0	S			[]		G23397	North America	USA
728		0	S			[]		G23398	North America	USA
729		1	S			[]		G23399	North America	USA
730		0	S			[]		G23400	North America	USA
731		0	S			[]		G23401	North America	USA
732		1	S			[]		G23402	North America	USA
733		0	S			[]		G23403	North America	USA
734		1	S			[]		G23404	North America	USA
735		0	S			[]		G23405	North America	USA
736		0	S			[]		G23406	North America	USA
737		1	S			[]		G23407	North America	USA
738		0	S			[]		G23408	North America	USA
739		0	S			[]		G23409	North America	USA
740		1	S			[]		G23410	North America	USA
741		0	S			[]		G23411	North America	USA
742	7621	0	I	2020-03-28	6551	[]	2020-04-01	G23412	North America	USA
743		0	S			[]		G23413	North America	USA
744	5646	1	I	2020-03-27	5311	[]	2020-03-29	G23414	North America	USA
745		1	S			[]		G23415	North America	USA
746		1	S			[]		G23416	North America	USA
747		1	S			[]		G23417	North America	USA
748		0	S			[]		G23418	North America	USA
749		1	S			[]		G23419	North America	USA
750		1	S			[]		G23420	North America	USA
751		0	S			[]		G23421	North America	USA
752		0	S			[]		G23422	North America	USA
753		0	S			[]		G23423	North America	USA
754		0	S			[]		G23424	North America	USA
755		1	S			[]		G23425	North America	USA
756		1	S			[]		G23426	North America	USA
757		0	S			[]		G23427	North America	USA
758		0	S			[]		G23428	North America	USA
759		0	S			[]		G23429	North America	USA
760		0	S			[]		G23430	North America	USA
761		0	S			[]		G23431	North America	USA
762		0	S			[]		G23432	North America	USA
763		1	S			[]		G23433	North America	USA
764		0	S			[]		G23434	North America	USA
765		0	S			[]		G23435	North America	USA
766		0	S			[]		G23436	North America	USA
767		1	S			[]		G23437	North America	USA
768		1	S			[]		G23438	North America	USA
769	6422	1	I	2020-03-20	1000	[]	2020-03-23	G23439	North America	USA
770		1	S			[]		G23440	North America	USA
771		1	S			[]		G23441	North America	USA
772	7590	0	I	2020-03-28	7760	[]	2020-03-31	G23442	North America	USA
773		0	S			[]		G23443	North America	USA
774		0	S			[]		G23444	North America	USA
775		0	S			[]		G23445	North America	USA
776		1	S			[]		G23446	North America	USA
777		0	S			[]		G23447	North America	USA
778		0	S			[]		G23448	North America	USA
779		1	S			[]		G23449	North America	USA
780		1	S			[]		G23450	North America	USA
781		1	S			[]		G23451	North America	USA
782		0	S			[]		G23452	North America	USA
783		0	S			[]		G23453	North America	USA
784		1	S			[]		G23454	North America	USA
785		1	S			[]		G23455	North America	USA
786		0	S			[]		G23456	North America	USA
787		0	S			[]		G23457	North America	USA
788		1	S			[]		G23458	North America	USA
789	6073	1	I	2020-03-12	2114	[]	2020-03-20	G23459	North America	USA
790		0	S			[]		G23460	North America	USA
791	9412	1	I	2020-03-28	9671	[]	2020-04-03	G23461	North America	USA
792		0	S			[]		G23462	North America	USA
793		0	S			[]		G23463	North America	USA
